      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     247       4       9    1990       27.0000000     1110.4083136     1050.0000000     1100.9812093
     248       5       9    1990       28.0000000     1098.6394627     1040.0000000     1088.6460164
     249       6       9    1990       26.0000000     1066.7725279     1010.0000000     1055.9327584
     250       7       9    1990       24.0000000     1051.2325328      991.0000000     1038.0863804
     251       8       9    1990       33.0000000     1062.0786696     1010.0000000     1054.5007763
     252       9       9    1990       26.0000000     1059.7255925     1010.0000000     1051.8421537
     253      10       9    1990       27.0000000     1067.0602511     1020.0000000     1060.3163060
     254      11       9    1990       22.0000000     1084.6614915     1040.0000000     1079.0270457
     255      12       9    1990       22.0000000     1047.1143697      998.0000000     1035.9274283
     256      13       9    1990       21.0000000      998.5757988      950.0000000      986.9800511
     257      14       9    1990       22.0000000      956.8843942      910.0000000      946.1550904
     258      15       9    1990       22.0000000      909.6870415      863.0000000      898.4287468
     259      16       9    1990       22.0000000      890.0760516      847.0000000      881.7820141
     260      17       9    1990       20.0000000      872.4879979      830.0000000      864.1997018
     261      18       9    1990       22.0000000      892.0868141      854.0000000      887.6696607
     262      19       9    1990       16.0000000      872.8469072      831.0000000      864.1821660
     263      20       9    1990       22.0000000      841.1429745      799.0000000      831.7294280
     264      21       9    1990       19.0000000      841.3052012      790.0000000      831.3236918
     265      22       9    1990       32.0000000      937.0375521      805.0000000      906.3507960
     266      23       9    1990       27.0000000      999.4031013      913.0000000      993.4589190
     267      24       9    1990       45.0000000     1070.7260002      998.0000000     1061.6575396
     268      25       9    1990       42.0000000     1199.4018156     1150.0000000     1204.0263392
     269      26       9    1990       39.0000000     1425.1783427     1390.0000000     1439.3441275
     270      27       9    1990       30.0000000     1470.4952653     1420.0000000     1465.6598463
     271      28       9    1990       28.0000000     1351.9471613     1290.0000000     1332.6589788
     272      29       9    1990       30.0000000     1237.3981586     1180.0000000     1220.2022032
     273      30       9    1990       30.0000000     1239.8596160     1110.0000000     1221.6437906
     274       1      10    1990       56.0000000     1303.8738463     1130.0000000     1286.1965025
     275       2      10    1990       72.0000000     1253.5959037     1110.0000000     1235.0747304
     276       3      10    1990       73.0000000     1416.4426046     1290.0000000     1413.9932388
     277       4      10    1990       68.0000000     1551.0574631     1440.0000000     1551.1654891
     278       5      10    1990       53.0000000     1478.6971327     1360.0000000     1460.5422461
     279       6      10    1990       42.0000000     1420.5500049     1320.0000000     1406.9575657
     280       7      10    1990       33.0000000     1469.4005223     1390.0000000     1466.7401247
     281       8      10    1990       42.0000000     1385.8744791     1300.0000000     1369.0407869
     282       9      10    1990       34.0000000     1270.3330850     1190.0000000     1252.0765455
     283      10      10    1990       36.0000000     1190.5957853     1120.0000000     1176.4253069
     284      11      10    1990       36.0000000     1170.1678045     1110.0000000     1161.8580072
     285      12      10    1990       28.0000000     1128.9524109     1070.0000000     1118.1510508
     286      13      10    1990       32.0000000     1076.6202528     1020.0000000     1065.1278735
