      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     278       5      10    1990       53.0000000     1395.9731081     1360.0000000     1360.0000000
     279       6      10    1990       42.0000000     1345.5927326     1320.0000000     1320.0000000
     280       7      10    1990       33.0000000     1389.3565077     1390.0000000     1390.0000000
     281       8      10    1990       42.0000000     1334.9466894     1300.0000000     1300.0000000
     282       9      10    1990       34.0000000     1228.6486330     1190.0000000     1190.0000000
     283      10      10    1990       36.0000000     1148.7312476     1120.0000000     1120.0000000
     284      11      10    1990       36.0000000     1124.3241151     1110.0000000     1110.0000000
     285      12      10    1990       28.0000000     1090.5557958     1070.0000000     1070.0000000
     286      13      10    1990       32.0000000     1042.2789905     1020.0000000     1020.0000000
     287      14      10    1990       27.0000000     1008.7438204      992.0000000      992.0000000
     288      15      10    1990       35.0000000      967.2058704      947.0000000      947.0000000
     289      16      10    1990       42.0000000      925.1121844      906.0000000      906.0000000
     290      17      10    1990       35.0000000      897.3399596      881.0000000      881.0000000
     291      18      10    1990       39.0000000      890.0044625      880.0000000      880.0000000
     292      19      10    1990       34.0000000      882.8457804      872.0000000      872.0000000
     293      20      10    1990       32.0000000      878.3603728      869.0000000      869.0000000
     294      21      10    1990       34.0000000      866.5610345      855.0000000      855.0000000
     295      22      10    1990       27.0000000      839.9306545      825.0000000      825.0000000
     296      23      10    1990       31.0000000      817.3818601      805.0000000      805.0000000
     297      24      10    1990       28.0000000      818.7404115      813.0000000      813.0000000
     298      25      10    1990       25.0000000      813.5917028      803.0000000      803.0000000
     299      26      10    1990       29.0000000      807.9304835      789.0000000      789.0000000
     300      27      10    1990       31.0000000      806.8222381      781.0000000      781.0000000
     301      28      10    1990       65.0000000      883.8337077      786.0000000      786.0000000
     302      29      10    1990       69.0000000      945.8934831      891.0000000      891.0000000
     303      30      10    1990      157.0000000     1042.6734945     1010.0000000     1010.0000000
     304      31      10    1990      190.0000000     1192.0533059     1180.0000000     1180.0000000
     305       1      11    1990      115.0000000     1484.4471640     1510.0000000     1510.0000000
     306       2      11    1990      104.0000000     1659.5898178     1640.0000000     1640.0000000
     307       3      11    1990      100.0000000     1767.0585858     1750.0000000     1750.0000000
     308       4      11    1990      131.0000000     1750.0994743     1700.0000000     1700.0000000
     309       5      11    1990      130.0000000     1711.3679865     1670.0000000     1670.0000000
     310       6      11    1990      115.0000000     1708.8946857     1680.0000000     1680.0000000
     311       7      11    1990      102.0000000     1739.3634865     1720.0000000     1720.0000000
     312       8      11    1990       95.0000000     1715.3043122     1680.0000000     1680.0000000
     313       9      11    1990       81.0000000     1603.8159559     1550.0000000     1550.0000000
     314      10      11    1990       66.0000000     1486.5146137     1430.0000000     1430.0000000
     315      11      11    1990       67.0000000     1383.7025512     1320.0000000     1320.0000000
     316      12      11    1990       74.0000000     1304.1523944     1260.0000000     1260.0000000
     317      13      11    1990      109.0000000     1335.1729441     1310.0000000     1310.0000000
     318      14      11    1990       92.0000000     1584.2729181     1610.0000000     1610.0000000
     319      15      11    1990       92.0000000     1722.8394906     1710.0000000     1710.0000000
     320      16      11    1990      155.0000000     1726.0124122     1690.0000000     1690.0000000
     321      17      11    1990      159.0000000     1846.1132651     1850.0000000     1850.0000000
     322      18      11    1990      131.0000000     2057.5876155     2070.0000000     2070.0000000
     323      19      11    1990      161.0000000     2124.2153637     2090.0000000     2090.0000000
     324      20      11    1990      196.0000000     2267.6868524     2220.0000000     2220.0000000
     325      21      11    1990      336.0000000     2550.7414968     2560.0000000     2560.0000000
     326      22      11    1990      566.0000000     2852.8860569     2870.0000000     2870.0000000
     327      23      11    1990      373.0000000     2969.9244269     2940.0000000     2940.0000000
     328      24      11    1990      293.0000000     3031.2983991     3000.0000000     3000.0000000
     329      25      11    1990      264.0000000     3026.3311518     2970.0000000     2970.0000000
     330      26      11    1990      226.0000000     2813.1232608     2710.0000000     2710.0000000
     331      27      11    1990      201.0000000     2501.8006773     2390.0000000     2390.0000000
     332      28      11    1990      180.0000000     2286.4213854     2210.0000000     2210.0000000
     333      29      11    1990      161.0000000     2133.3775310     2060.0000000     2060.0000000
     334      30      11    1990      149.0000000     2002.9197807     1940.0000000     1940.0000000
     335       1      12    1990      134.0000000     1879.1997692     1820.0000000     1820.0000000
     336       2      12    1990      113.0000000     1772.1417591     1720.0000000     1720.0000000
     337       3      12    1990       99.0000000     1669.9373833     1620.0000000     1620.0000000
     338       4      12    1990      107.0000000     1575.8354959     1530.0000000     1530.0000000
     339       5      12    1990       99.0000000     1515.0152911     1480.0000000     1480.0000000
     340       6      12    1990       89.0000000     1478.9002755     1450.0000000     1450.0000000
     341       7      12    1990       77.0000000     1424.3916050     1390.0000000     1390.0000000
     342       8      12    1990       71.0000000     1363.1763278     1330.0000000     1330.0000000
     343       9      12    1990       68.0000000     1302.0910860     1270.0000000     1270.0000000
     344      10      12    1990       73.0000000     1241.1193291     1210.0000000     1210.0000000
     345      11      12    1990       84.0000000     1203.3908657     1180.0000000     1180.0000000
     346      12      12    1990       88.0000000     1218.3901038     1190.0000000     1190.0000000
     347      13      12    1990       92.0000000     1246.5236998     1220.0000000     1220.0000000
     348      14      12    1990      128.0000000     1233.1461538     1200.0000000     1200.0000000
     349      15      12    1990      136.0000000     1217.4289589     1190.0000000     1190.0000000
     350      16      12    1990      114.0000000     1205.6830783     1180.0000000     1180.0000000
     351      17      12    1990      101.0000000     1155.5797155     1120.0000000     1120.0000000
     352      18      12    1990       93.0000000     1101.9373979     1070.0000000     1070.0000000
     353      19      12    1990       85.0000000     1081.5889682     1060.0000000     1060.0000000
     354      20      12    1990       81.0000000     1062.7973981     1040.0000000     1040.0000000
     355      21      12    1990      106.0000000     1087.1871072     1040.0000000     1040.0000000
     356      22      12    1990      159.0000000     1107.6111033     1040.0000000     1040.0000000
     357      23      12    1990      250.0000000     1152.7758656     1090.0000000     1090.0000000
     358      24      12    1990      298.0000000     1239.9861581     1200.0000000     1200.0000000
     359      25      12    1990      261.0000000     1372.6272780     1320.0000000     1320.0000000
     360      26      12    1990      228.0000000     1502.1285261     1410.0000000     1410.0000000
     361      27      12    1990      409.0000000     1603.3031680     1510.0000000     1510.0000000
     362      28      12    1990      486.0000000     1759.6368181     1680.0000000     1680.0000000
     363      29      12    1990      440.0000000     2076.6008477     1970.0000000     1970.0000000
     364      30      12    1990      486.0000000     2311.5391557     2190.0000000     2190.0000000
     365      31      12    1990      774.0000000     2545.3201944     2440.0000000     2440.0000000
     366       1       1    1991      889.0000000     3002.1973195     2950.0000000     2950.0000000
     367       2       1    1991      863.0000000     3429.9289338     3300.0000000     3300.0000000
     368       3       1    1991      875.0000000     3714.4730631     3520.0000000     3520.0000000
     369       4       1    1991      932.0000000     3885.3693886     3700.0000000     3700.0000000
     370       5       1    1991      826.0000000     3931.9080963     3710.0000000     3710.0000000
     371       6       1    1991      731.0000000     3844.7042440     3620.0000000     3620.0000000
     372       7       1    1991      613.0000000     3653.2540376     3430.0000000     3430.0000000
     373       8       1    1991      610.0000000     3404.7717675     3180.0000000     3180.0000000
     374       9       1    1991      686.0000000     3304.0495727     3130.0000000     3130.0000000
     375      10       1    1991      556.0000000     3386.3931484     3200.0000000     3200.0000000
     376      11       1    1991      669.0000000     3321.9908032     3080.0000000     3080.0000000
